Group,Name,Basic relationship,Presetted values
,Optimering/Extremvärden i flera variabler,"local max value: f(x) <= f(a), local min value: f(x)>=f(a), absolute maximum/minimum (in all points)","f(x) = xy-x, D: x^2<=y<=4
(\\df)/(\\dx) = y-1, (\\df)/(\\dy) = x, y -> (0, 1), f(0, 1)=0
y=x^2: f(x, x^2)=x^3-x = g(x) -> g'(x)=0 -> x = 1/sqrt(3), -1/sqrt(3), f(1/sqrt(3)) = 1/(3sqrt(3)) - 1/sqrt(3) = -2/(3sqrt(3), f(1/sqrt(3)) = -1/(3sqrt(3)) + 1/sqrt(3) = 2/(3sqrt(3))
y=4: f(2, 4) = 8-2=6, f(-2, 4)=-8+2=6"
,,"Sufficient condition for extreme values:
f max/min in (a, b), f(a, b) >= f(x, y): f continous D_f (closed, bounded set in \\R^n), f kontinuerlig (sluten, begränsad mängd)",
,,"Max/min:
- Critical points/Kritiska punkter: Alla partiella derivator = 0, grad f(a, b)=0
- Singular point/Singulära punkter: Någon av partiella derivator saknas, grad f(a, b) not existing
- Boundary point/Randpunkter of f domain/definitionsmängd
(a, b) in D_f, (a, b) not boundary -> (a, b) interior, (a, b) not singular, not critical -> grad f(a, b) != 0 -> directional derivative \grad f(a, b) -> (a, b) not max/min f

Critical point:
- Max/min
- Saddle e.g. $math{f=y^2-x^2, f_(x')=-(x^3)}",
,,"Classifying extreme points:
$math{\D f(a, b)=f(a+h, b+k)-f(a, b), ""any small h, k""}","$math{f(x, y)=2x^3-6x+3y^2
\D f(1, 1)=f(1+h, 1+k)-f(1, 1)=3k^2-6kh+3h^2+3h^2+2h^3=3(k-h)^2+h^2*(3+2h)>0, |h|<3/2}"
,,"Second derivative test/Andraderivatatest (Hessian matrix):
$math{H(x)=[[f_(11'), f_(12'), ..., f_(1n')], [f_(21'), f_(22'), ..., f_(2n')], [...], [f_(n1'), f_(n2'), ..., f_(nn')]]}
$math{[[A, B], [B, C]] -> \D=B^2-4AC}
Positive definite -> Local maximum (\D<0, A>0)
Negative definite -> Local minimum (\D<0, A<0)
Indefinite -> Saddle point (\D>0)
Else -> Test no information (\D=0)",
,"f(a, b) maximum","f_(x)'(a, b) = f_(y)'(a, b) = 0, (f_(xy)')^2(a, b) - f_(xx)'(a, b)*f_(yy)'(a, b) < 0",
,"f(a, b) minimum","f_(xx)'(a, b) < 0, f_(yy)'(a, b) < 0",
,,"f_(xx)'(a, b) > 0, f_(yy)'(a, b) > 0",
,Restricted domains,"Restricted domains/Non-empty interior
1. Find any critical/singular points inside D
2. Find extreme values on boundary paths (as 1 variable)
3. Compare the values","1. $math{f(x, y)=x^2ye^(-(x+y)), (x>=0, y>=0, x+y<=4)}
2. $math{f_(1')=xy(2-x)e^(-(x+y)), f_(2')=x^2(1-y)e^(-(x+y)), (f_(1')=0, f_(2')=0) -> (x=0, y=0, x=2, y=1)}
3. $math{f(x, 0)=0, f(0, y)=0, f(x, 4-x)=e^(-4)*(4x^2-x^3)}"
,Linear programming,"Linear function restricted domain by linear -> Extreme value on boundary
$math{F(x, y)=2x+7y, (x+2y<=6, 2x+y<=6, x>=0, y>=0) -> ""Max"" =21}",
